"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","Year_since_Release","Decade","Platform_Company","Platform_Gen","Family_Platform","Main_Developer","Developer_Country","Main_Publisher"
"Grand Theft Auto 2","PS",1998,"Action","Take-Two Interactive",1.13,2.07,0,0.22,3.42,70,15,78,67,"DMA Design","T",18,"90s","SONY","5th Gen","SONY_PS","Other","Other","Sega"
"Metal Gear Solid V: The Phantom Pain","PS4",2015,"Action","Konami Digital Entertainment",1.09,1.36,0.49,0.48,3.41,93,86,80,3943,"Kojima Productions, Moby Dick Studio","M",1,"10s","SONY","8th Gen","SONY_PS","Other","Other","Other"
"Spider-Man 2","PS2",2004,"Action","Activision",1.75,1.2,0.02,0.43,3.41,80,50,87,106,"Treyarch","T",12,"00s","SONY","6th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard"
"FIFA Soccer 2003","PS2",2002,"Sports","Electronic Arts",0.46,2.28,0.05,0.61,3.4,88,15,65,35,"EA Canada","E",14,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"LittleBigPlanet 2","PS3",2011,"Platform","Sony Computer Entertainment",1.83,1.05,0.06,0.46,3.39,91,86,82,657,"Media Molecule","E",5,"10s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Crash Bash","PS",2000,"Misc","Sony Computer Entertainment",1.56,1.47,0.19,0.17,3.39,68,12,80,99,"Eurocom Entertainment Software","E",16,"90s","SONY","5th Gen","SONY_PS","SONY","Japan","SONY"
"Assassin's Creed Syndicate","PS4",2015,"Action","Ubisoft",0.81,1.99,0.07,0.52,3.39,76,86,66,1319,"Ubisoft Quebec","M",1,"10s","SONY","8th Gen","SONY_PS","Ubisoft","France","Ubisoft"
"LEGO Batman: The Videogame","X360",2008,"Action","Warner Bros. Interactive Entertainment",2.04,1.02,0,0.32,3.38,76,49,77,75,"Traveller's Tales","E10+",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other"
"Destiny","XOne",2014,"Shooter","Activision",2.14,0.92,0,0.31,3.37,75,11,53,1735,"Bungie Software, Bungie","T",2,"10s","Microsoft","8th Gen","Microsoft_XBOX","Microsoft","US","Activision Blizzard"
"Far Cry 3","PS3",2012,"Shooter","Ubisoft",0.88,1.7,0.1,0.67,3.35,90,32,83,1041,"Ubisoft Montreal","M",4,"10s","SONY","7th Gen","SONY_PS","Ubisoft","France","Ubisoft"
"James Bond 007: Nightfire","PS2",2002,"Shooter","Electronic Arts",1.45,1.29,0.12,0.46,3.33,77,20,83,66,"Eurocom Entertainment Software","T",14,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"Star Wars Episode III: Revenge of the Sith","PS2",2005,"Action","LucasArts",1.47,1.39,0.03,0.43,3.32,60,34,70,82,"Double Helix Games","T",11,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"The Legend of Zelda: Spirit Tracks","DS",2009,"Action","Nintendo",1.4,0.91,0.74,0.26,3.31,87,75,76,228,"Nintendo","E10+",7,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Max Payne","PS2",2001,"Shooter","Take-Two Interactive",1.99,1.05,0.05,0.22,3.31,80,21,83,86,"Rockstar Toronto","M",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Sega"
"Assassin's Creed IV: Black Flag","X360",2013,"Action","Ubisoft",1.9,1.11,0.01,0.29,3.3,86,35,77,701,"Ubisoft","M",3,"10s","Microsoft","7th Gen","Microsoft_XBOX","Ubisoft","France","Ubisoft"
"The Lord of the Rings: The Return of the King","PS2",2003,"Action","Electronic Arts",1.5,1.28,0.05,0.46,3.28,85,31,85,105,"EA Games","T",13,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"Gears of War: Ultimate Edition","XOne",2015,"Shooter","Microsoft Game Studios",2.61,0.33,0,0.34,3.28,82,74,73,563,"Splash Damage, The Coalition","M",1,"10s","Microsoft","8th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"True Crime: Streets of LA","PS2",2003,"Action","Activision",1.89,1.05,0.02,0.31,3.27,77,39,78,94,"Luxoflux, Inc.","M",13,"00s","SONY","6th Gen","SONY_PS","Other","Other","Activision Blizzard"
"Professor Layton and the Unwound Future","DS",2008,"Puzzle","Nintendo",0.6,1.57,0.82,0.27,3.26,86,62,90,111,"Level 5","E10+",8,"00s","Nintendo","7th Gen","Nintendo_DS","SONY","Japan","Nintendo"
"FIFA 16","XOne",2015,"Sports","Electronic Arts",0.89,2.12,0,0.24,3.25,84,45,42,459,"EA Sports","E",1,"10s","Microsoft","8th Gen","Microsoft_XBOX","EA","US","EA"
"Wii Music","Wii",2008,"Misc","Nintendo",1.35,1.11,0.46,0.32,3.25,63,43,44,116,"Nintendo","E",8,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Madden NFL 16","PS4",2015,"Sports","Electronic Arts",2.34,0.3,0,0.6,3.24,83,37,57,180,"EA Sports","E",1,"10s","SONY","8th Gen","SONY_PS","EA","US","EA"
"Gran Turismo 6","PS3",2013,"Racing","Sony Computer Entertainment",0.72,1.67,0.4,0.44,3.23,81,81,75,758,"Polyphony Digital","E",3,"10s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Halo: The Master Chief Collection","XOne",2014,"Shooter","Microsoft Game Studios",1.91,1,0.03,0.29,3.23,85,69,70,1267,"343 Industries","M",2,"10s","Microsoft","8th Gen","Microsoft_XBOX","Microsoft","US","Microsoft"
"Super Mario Maker","WiiU",2015,"Platform","Nintendo",1.18,0.89,0.94,0.2,3.21,88,85,85,691,"Nintendo","E",1,"10s","Nintendo","8th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"God of War: Chains of Olympus","PSP",2008,"Action","Sony Computer Entertainment",1.48,1,0.04,0.66,3.18,91,79,84,565,"Ready at Dawn","M",8,"00s","SONY","7th Gen","SONY_PS","Other","Other","SONY"
"Enter the Matrix","PS2",2003,"Action","Atari",1.78,1.12,0.09,0.19,3.18,62,30,79,137,"Shiny Entertainment","T",13,"00s","SONY","6th Gen","SONY_PS","Other","Other","Namco"
"Crisis Core: Final Fantasy VII","PSP",2007,"Role-Playing","Square Enix",1.35,0.59,0.8,0.43,3.18,83,67,78,463,"Square Enix","T",9,"00s","SONY","7th Gen","SONY_PS","Square Enix","Japan","Square Enix"
"Dance Central","X360",2010,"Misc","MTV Games",2.15,0.76,0.01,0.26,3.17,82,63,74,85,"Harmonix Music Systems","T",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other"
"L.A. Noire","PS3",2011,"Adventure","Take-Two Interactive",1.27,1.29,0.12,0.49,3.17,89,78,75,1010,"Team Bondi","M",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Sega"
"Ace Combat 04: Shattered Skies","PS2",2001,"Simulation","Sony Computer Entertainment Europe",2.06,0.56,0.38,0.17,3.17,89,22,89,95,"Namco","E",15,"00s","SONY","6th Gen","SONY_PS","Namco","Japan","SONY"
"Animal Crossing","GC",2001,"Simulation","Nintendo",1.92,0.16,0.99,0.09,3.15,87,42,87,137,"Nintendo","E",15,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"FIFA Soccer 08","PS2",2007,"Sports","Electronic Arts",0.68,0,0,2.46,3.14,83,12,63,36,"EA Canada","E",9,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"Spider-Man","PS",2000,"Action","Activision",1.7,1.25,0.02,0.16,3.13,87,19,88,107,"Neversoft Entertainment","E",16,"90s","SONY","5th Gen","SONY_PS","Other","Other","Activision Blizzard"
"Mario Party 9","Wii",2012,"Misc","Nintendo",1.06,1.09,0.76,0.22,3.13,73,45,66,155,"Nd Cube","E",4,"10s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Nintendo"
"Sonic Rush","DS",2005,"Platform","Sega",1.21,1.56,0.06,0.29,3.12,82,43,83,101,"Dimps Corporation, Sonic Team","E",11,"00s","Nintendo","7th Gen","Nintendo_DS","Sega","Japan","Sega"
"Rhythm Heaven","DS",2008,"Misc","Nintendo",0.55,0.5,1.93,0.13,3.11,83,48,88,63,"Nintendo","E",8,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Fallout: New Vegas","PS3",2010,"Role-Playing","Bethesda Softworks",1.52,1.03,0.1,0.46,3.11,82,57,76,492,"Obsidian Entertainment","M",6,"00s","SONY","7th Gen","SONY_PS","Microsoft","US","Other"
"Personal Trainer: Cooking","DS",2006,"Misc","Nintendo",0.9,1,1.03,0.17,3.11,81,12,76,10,"Indies Zero","E",10,"00s","Nintendo","7th Gen","Nintendo_DS","Microsoft","US","Nintendo"
"The Elder Scrolls IV: Oblivion","PS3",2007,"Role-Playing","Ubisoft",1.69,0.85,0.14,0.43,3.1,93,45,78,604,"4J Studios","M",9,"00s","SONY","7th Gen","SONY_PS","Other","Other","Ubisoft"
"The Legend of Zelda: A Link Between Worlds","3DS",2013,"Action","Nintendo",1.4,1.01,0.46,0.23,3.1,91,81,87,1057,"Nintendo","E",3,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Resident Evil 6","PS3",2012,"Shooter","Capcom",0.88,0.94,0.88,0.4,3.1,74,34,52,1304,"Capcom","M",4,"10s","SONY","7th Gen","SONY_PS","Other","Other","Other"
"Mass Effect 2","X360",2010,"Role-Playing","Electronic Arts",1.99,0.81,0.03,0.27,3.1,96,98,87,3143,"BioWare","M",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA"
"Dragon Ball Z: Budokai","PS2",2002,"Fighting","Atari",2.17,0.28,0.55,0.08,3.09,67,28,77,71,"Dimps Corporation","T",14,"00s","SONY","6th Gen","SONY_PS","Other","Other","Namco"
"Madden NFL 2002","PS2",2001,"Sports","Electronic Arts",2.5,0.16,0.01,0.42,3.08,94,23,77,46,"EA Sports","E",15,"00s","SONY","6th Gen","SONY_PS","EA","US","EA"
"The Sims: Vacation","PC",2002,"Simulation","Electronic Arts",1.72,1.21,0,0.14,3.07,75,18,76,22,"Maxis","T",14,"00s","Microsoft","5th Gen","Misc","EA","US","EA"
"Animal Crossing: Happy Home Designer","3DS",2015,"Simulation","Nintendo",0.51,1.02,1.4,0.12,3.05,66,60,67,106,"Nintendo","E",1,"10s","Nintendo","8th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"The Sims 4","PC",2014,"Simulation","Electronic Arts",1,1.82,0,0.23,3.05,70,74,37,2057,"Maxis","T",2,"10s","Microsoft","5th Gen","Misc","EA","US","EA"
"Borderlands 2","X360",2012,"Shooter","Take-Two Interactive",1.89,0.88,0.04,0.25,3.05,89,59,80,892,"Gearbox Software","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega"
"LEGO Batman: The Videogame","DS",2008,"Action","Warner Bros. Interactive Entertainment",1.75,1.01,0,0.29,3.05,72,16,78,16,"TT Fusion","E10+",8,"00s","Nintendo","7th Gen","Nintendo_DS","Other","Other","Other"
"Kung Fu Panda","X360",2008,"Action","Activision",1.91,0.84,0,0.29,3.04,75,42,72,32,"Luxoflux, Inc.","E10+",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard"
"Mass Effect 3","X360",2012,"Role-Playing","Electronic Arts",1.94,0.84,0.03,0.24,3.04,93,74,56,3725,"BioWare","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA"
"Heavy Rain","PS3",2010,"Adventure","Sony Computer Entertainment",1.29,1.21,0.06,0.47,3.03,87,107,75,2759,"Quantic Dream","M",6,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Saints Row 2","X360",2008,"Action","THQ",1.94,0.79,0.02,0.28,3.03,81,75,79,307,"Volition Inc.","M",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other"
"Tom Clancy's Splinter Cell","XB",2002,"Action","Ubisoft",1.85,1.04,0,0.13,3.02,93,46,83,121,"Ubisoft Montreal","T",14,"00s","Microsoft","6th Gen","Microsoft_XBOX","Ubisoft","France","Ubisoft"
"FIFA 14","PS4",2013,"Sports","Electronic Arts",0.61,1.85,0.11,0.44,3.01,87,26,61,616,"EA Canada","E",3,"10s","SONY","8th Gen","SONY_PS","EA","US","EA"
"Killzone 2","PS3",2009,"Shooter","Sony Computer Entertainment",1.4,1.06,0.08,0.47,3.01,91,94,79,1505,"Guerrilla","M",7,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Far Cry 3","X360",2012,"Shooter","Ubisoft",1.38,1.32,0.02,0.28,3,91,39,84,1247,"Ubisoft Montreal","M",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Ubisoft","France","Ubisoft"
"Epic Mickey","Wii",2010,"Platform","Disney Interactive Studios",2.04,0.63,0.12,0.22,3,73,78,68,131,"Junction Point","E",6,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Other"
"NBA 2K13","X360",2012,"Sports","Take-Two Interactive",2.6,0.2,0.01,0.19,3,88,41,70,131,"Visual Concepts","E",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","Sega","Japan","Sega"
"Dragon Ball Z: Budokai Tenkaichi 3","PS2",2007,"Fighting","Atari",1.15,0,0.76,1.09,3,73,24,90,173,"Spike, Namco Bandai Games","T",9,"00s","SONY","6th Gen","SONY_PS","Namco","Japan","Namco"
"The Sims: Livin Large","PC",2000,"Misc","Electronic Arts",1.67,1.18,0,0.13,2.99,82,23,64,20,"Maxis","T",16,"90s","Microsoft","5th Gen","Misc","EA","US","EA"
"World Soccer Winning Eleven 6 International","PS2",2002,"Sports","Konami Digital Entertainment",0.12,1.26,1.16,0.45,2.99,93,24,89,65,"KCET","E",14,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"Devil May Cry","PS2",2001,"Action","Capcom",1.36,0.86,0.64,0.13,2.99,94,37,83,466,"Capcom","M",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"Star Wars: The Old Republic","PC",2011,"Role-Playing","Electronic Arts",1.58,1.01,0,0.38,2.96,85,73,57,2748,"LucasArts, BioWare","T",5,"10s","Microsoft","5th Gen","Misc","EA","US","EA"
"Middle-Earth: Shadow of Mordor","PS4",2014,"Action","Warner Bros. Interactive Entertainment",1.01,1.43,0.05,0.47,2.96,84,85,79,1886,"Monolith Productions","M",2,"10s","SONY","8th Gen","SONY_PS","Other","Other","Other"
"Sonic Heroes","PS2",2003,"Platform","Sega",1.04,1.37,0.06,0.49,2.96,64,29,76,94,"Sonic Team","E",13,"00s","SONY","6th Gen","SONY_PS","Sega","Japan","Sega"
"Hitman 2: Silent Assassin","PS2",2002,"Action","Eidos Interactive",1.36,1.15,0.04,0.41,2.96,85,19,76,78,"Io Interactive","M",14,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"Titanfall","XOne",2014,"Shooter","Electronic Arts",1.84,0.8,0.04,0.27,2.95,86,68,62,2658,"Respawn Entertainment","M",2,"10s","Microsoft","8th Gen","Microsoft_XBOX","Other","Other","EA"
"Battlefield: Bad Company 2","PS3",2010,"Shooter","Electronic Arts",1.33,1.1,0.08,0.44,2.95,88,59,83,572,"EA DICE","M",6,"00s","SONY","7th Gen","SONY_PS","EA","US","EA"
"SOCOM II: U.S. Navy SEALs","PS2",2003,"Shooter","Sony Computer Entertainment",2.22,0.51,0.06,0.15,2.94,87,42,88,93,"Zipper Interactive","M",13,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","SONY"
"Pac-Man Collection","GBA",2001,"Puzzle","Atari",2.07,0.77,0.05,0.05,2.94,79,13,76,4,"Mass Media","E",15,"00s","Nintendo","6th Gen","Misc","Other","Other","Namco"
"Street Fighter IV","X360",2009,"Fighting","Capcom",1.82,0.7,0.15,0.26,2.94,93,77,71,292,"Capcom","T",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other"
"inFAMOUS","PS3",2009,"Action","Sony Computer Entertainment",1.76,0.68,0.12,0.37,2.93,85,98,81,1172,"Sucker Punch","T",7,"00s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Kirby Super Star Ultra","DS",2008,"Platform","Nintendo",1.55,0.04,1.19,0.15,2.92,76,40,86,76,"HAL Labs","E",8,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Call of Duty: Ghosts","XOne",2013,"Shooter","Activision",1.88,0.77,0,0.27,2.92,78,7,41,700,"Infinity Ward","M",3,"10s","Microsoft","8th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard"
"Mass Effect","X360",2007,"Role-Playing","Microsoft Game Studios",1.83,0.79,0.03,0.27,2.91,91,74,85,1692,"BioWare","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","Microsoft"
"Sonic Mega Collection Plus","PS2",2004,"Misc","Sega",1.54,1.14,0,0.22,2.9,73,21,84,30,"Sonic Team","E",12,"00s","SONY","6th Gen","SONY_PS","Sega","Japan","Sega"
"World Soccer Winning Eleven 7 International","PS2",2003,"Sports","Konami Digital Entertainment",0.08,1.24,1.13,0.45,2.9,93,28,88,45,"KCET","E",13,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"Sega Superstars Tennis","X360",2008,"Sports","Sega",1.75,0.86,0,0.28,2.89,67,45,66,18,"Sumo Digital","E10+",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega"
"Hot Shots Golf 3","PS2",2001,"Sports","Sony Computer Entertainment",0.99,0.32,1.38,0.2,2.89,85,30,87,16,"Clap Hanz","E",15,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","SONY"
"Cooking Mama: Cook Off","Wii",2007,"Simulation","505 Games",1.41,1.12,0.05,0.3,2.89,61,37,51,23,"OfficeCreate","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Other"
"Call of Duty: Finest Hour","PS2",2004,"Shooter","Activision",1.51,1.12,0.01,0.24,2.89,76,49,75,69,"Spark Unlimited","T",12,"00s","SONY","6th Gen","SONY_PS","Other","Other","Activision Blizzard"
"WarioWare: Smooth Moves","Wii",2006,"Puzzle","Nintendo",0.86,1.04,0.73,0.26,2.89,83,61,72,179,"Intelligent Systems","E10+",10,"00s","Nintendo","7th Gen","Nintendo_Wii","Nintendo","Japan","Nintendo"
"Madden NFL 13","X360",2012,"Sports","Electronic Arts",2.53,0.15,0,0.17,2.86,81,36,56,179,"EA Tiburon","E",4,"10s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA"
"The Elder Scrolls III: Morrowind","XB",2002,"Role-Playing","Ubisoft",2.09,0.63,0.03,0.11,2.86,87,34,85,111,"Bethesda Softworks","T",14,"00s","Microsoft","6th Gen","Microsoft_XBOX","Other","Other","Ubisoft"
"Assassin's Creed IV: Black Flag","PS4",2013,"Action","Ubisoft",1.07,1.31,0.06,0.42,2.85,83,29,76,1530,"Ubisoft","M",3,"10s","SONY","8th Gen","SONY_PS","Ubisoft","France","Ubisoft"
"Mortal Kombat","PS3",2011,"Fighting","Warner Bros. Interactive Entertainment",1.98,0.53,0,0.34,2.84,84,60,82,494,"NetherRealm Studios","M",5,"10s","SONY","7th Gen","SONY_PS","Other","Other","Other"
"Madden NFL 10","X360",2009,"Sports","Electronic Arts",2.52,0.09,0,0.22,2.83,85,58,59,90,"EA Tiburon","E",7,"00s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA"
"BioShock","X360",2007,"Shooter","Take-Two Interactive",1.65,0.85,0.05,0.28,2.83,96,88,87,2249,"Irrational Games, 2K Marin","M",9,"00s","Microsoft","7th Gen","Microsoft_XBOX","Sega","Japan","Sega"
"Metroid Prime","GC",2002,"Shooter","Nintendo",1.96,0.67,0.1,0.09,2.82,97,70,91,747,"Retro Studios","T",14,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"Assassin's Creed: Brotherhood","PS3",2010,"Action","Ubisoft",1.87,0.55,0.11,0.29,2.82,90,59,80,791,"Ubisoft Montreal","M",6,"00s","SONY","7th Gen","SONY_PS","Ubisoft","France","Ubisoft"
"Medal of Honor","PS3",2010,"Shooter","Electronic Arts",1.28,1.04,0.07,0.42,2.81,75,56,73,286,"EA DICE, Danger Close","M",6,"00s","SONY","7th Gen","SONY_PS","EA","US","EA"
"inFAMOUS: Second Son","PS4",2014,"Action","Sony Computer Entertainment",1.28,0.98,0.07,0.46,2.79,80,90,77,2944,"Sucker Punch","T",2,"10s","SONY","8th Gen","SONY_PS","SONY","Japan","SONY"
"NBA Street","PS2",2001,"Sports","Electronic Arts",2.19,0.22,0,0.38,2.79,89,22,84,39,"NuFX","E",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","EA"
"Jak II","PS2",2003,"Platform","Sony Computer Entertainment",1.68,0.74,0,0.36,2.78,87,47,80,241,"Naughty Dog","T",13,"00s","SONY","6th Gen","SONY_PS","SONY","Japan","SONY"
"Need for Speed: Hot Pursuit","PS3",2010,"Racing","Electronic Arts",1.05,1.23,0.03,0.47,2.78,89,59,70,301,"Criterion Games","E10+",6,"00s","SONY","7th Gen","SONY_PS","Other","Other","EA"
"Skylanders: Spyro's Adventure","Wii",2011,"Action","Activision",1.35,1.13,0,0.3,2.78,81,11,54,31,"Toys for Bob","E10+",5,"10s","Nintendo","7th Gen","Nintendo_Wii","Other","Other","Activision Blizzard"
"Battlefield 3","PC",2011,"Shooter","Electronic Arts",0.89,1.43,0,0.46,2.78,89,61,73,4926,"EA DICE","M",5,"10s","Microsoft","5th Gen","Misc","EA","US","EA"
"Mortal Kombat X","PS4",2015,"Fighting","Warner Bros. Interactive Entertainment",1.5,0.8,0,0.48,2.78,83,81,75,836,"Warner Bros. Interactive Entertainment, NetherRealm Studios","M",1,"10s","SONY","8th Gen","SONY_PS","Other","Other","Other"
"The Sims","PS2",2003,"Simulation","Electronic Arts",1.41,1.12,0,0.24,2.77,83,33,75,46,"Edge of Reality","T",13,"00s","SONY","6th Gen","SONY_PS","Other","Other","EA"
"Killzone 3","PS3",2011,"Shooter","Sony Computer Entertainment",1.45,0.86,0.09,0.38,2.77,84,85,77,942,"Guerrilla","M",5,"10s","SONY","7th Gen","SONY_PS","SONY","Japan","SONY"
"Star Wars: The Force Unleashed","X360",2008,"Action","LucasArts",1.74,0.77,0,0.26,2.77,73,74,65,389,"LucasArts","T",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other"
"Yoshi's Island DS","DS",2006,"Platform","Nintendo",1.45,0.07,1.1,0.15,2.76,81,42,72,67,"Artoon","E",10,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Saints Row: The Third","X360",2011,"Action","THQ",1.25,1.14,0.07,0.3,2.76,84,70,74,490,"Volition Inc.","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Other"
"Tekken 6","PS3",2009,"Fighting","Namco Bandai Games",1.2,0.97,0.17,0.42,2.75,79,63,72,211,"Namco Bandai Games","T",7,"00s","SONY","7th Gen","SONY_PS","Namco","Japan","Namco"
"Sonic and the Secret Rings","Wii",2007,"Platform","Sega",1.21,1.19,0.04,0.29,2.73,69,44,64,174,"Sonic Team","E",9,"00s","Nintendo","7th Gen","Nintendo_Wii","Sega","Japan","Sega"
"The Legend of Zelda: A Link to the Past","GBA",2002,"Action","Nintendo",1.75,0.52,0.33,0.1,2.7,95,30,89,314,"Capcom","E",14,"00s","Nintendo","6th Gen","Misc","Nintendo","Japan","Nintendo"
"Onimusha: Warlords","PS2",2001,"Action","Virgin Interactive",0.99,0.48,1.09,0.14,2.7,86,23,80,56,"Capcom","M",15,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"L.A. Noire","X360",2011,"Adventure","Take-Two Interactive",1.52,0.92,0.02,0.24,2.7,89,83,76,893,"Team Bondi","M",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Sega"
"Call of Duty 3","X360",2006,"Shooter","Activision",1.49,0.92,0.02,0.27,2.7,82,71,63,233,"Treyarch","T",10,"00s","Microsoft","7th Gen","Microsoft_XBOX","Activision Blizzard","US","Activision Blizzard"
"Madden NFL 12","X360",2011,"Sports","Electronic Arts",2.42,0.11,0,0.16,2.69,78,55,57,94,"EA Tiburon","E",5,"10s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA"
"LEGO Star Wars II: The Original Trilogy","PS2",2006,"Action","LucasArts",1.85,0.64,0.01,0.19,2.69,84,32,88,41,"Traveller's Tales","E10+",10,"00s","SONY","6th Gen","SONY_PS","Other","Other","Other"
"Killzone: Shadow Fall","PS4",2013,"Shooter","Sony Computer Entertainment",0.89,1.33,0.08,0.39,2.69,73,88,66,2102,"Guerrilla","M",3,"10s","SONY","8th Gen","SONY_PS","SONY","Japan","SONY"
"Madden NFL 11","X360",2010,"Sports","Electronic Arts",2.38,0.12,0,0.18,2.69,84,47,55,120,"EA Tiburon","E",6,"00s","Microsoft","7th Gen","Microsoft_XBOX","EA","US","EA"
"Burnout 3: Takedown","PS2",2004,"Racing","Electronic Arts",1.23,1.11,0,0.34,2.68,93,52,89,271,"Criterion Games","T",12,"00s","SONY","6th Gen","SONY_PS","Other","Other","EA"
"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS",2010,"Puzzle","Nintendo",1.63,0.51,0.35,0.18,2.67,79,51,75,18,"Nintendo","E",6,"00s","Nintendo","7th Gen","Nintendo_DS","Nintendo","Japan","Nintendo"
"Professor Layton and the Last Specter","DS",2009,"Puzzle","Nintendo",0.28,1.39,0.68,0.32,2.67,83,58,85,52,"Level 5","E10+",7,"00s","Nintendo","7th Gen","Nintendo_DS","SONY","Japan","Nintendo"
"Call Of Duty 2: Big Red One","PS2",2005,"Shooter","Activision",1.48,0.92,0.01,0.26,2.67,77,39,80,69,"Treyarch","T",11,"00s","SONY","6th Gen","SONY_PS","Activision Blizzard","US","Activision Blizzard"
"Medal of Honor","PS",1998,"Shooter","Electronic Arts",1.44,1.09,0,0.14,2.67,92,17,84,80,"Dreamworks Interactive","T",18,"90s","SONY","5th Gen","SONY_PS","Other","Other","EA"
"Fable","XB",2004,"Role-Playing","Microsoft Game Studios",1.99,0.58,0,0.09,2.66,85,87,83,268,"Big Blue Box","M",12,"00s","Microsoft","6th Gen","Microsoft_XBOX","Other","Other","Microsoft"
"Guitar Hero: World Tour","X360",2008,"Misc","Activision",1.78,0.63,0,0.25,2.66,85,67,61,171,"Neversoft Entertainment","T",8,"00s","Microsoft","7th Gen","Microsoft_XBOX","Other","Other","Activision Blizzard"
"FIFA 17","XOne",2016,"Sports","Electronic Arts",0.43,2.05,0,0.17,2.65,84,50,53,201,"EA Sports, EA Vancouver","E",0,"10s","Microsoft","8th Gen","Microsoft_XBOX","EA","US","EA"
"Tom Clancy's Splinter Cell","PS2",2003,"Action","Ubisoft",1.15,1.11,0,0.4,2.65,89,24,75,102,"Ubisoft Shanghai","T",13,"00s","SONY","6th Gen","SONY_PS","Ubisoft","France","Ubisoft"
"Need for Speed: Shift","PS3",2009,"Racing","Electronic Arts",0.69,1.4,0.04,0.52,2.65,84,55,67,113,"Slightly Mad Studios","E",7,"00s","SONY","7th Gen","SONY_PS","Other","Other","EA"
"Medal of Honor Heroes","PSP",2006,"Shooter","Electronic Arts",0.86,1.11,0.01,0.66,2.65,71,24,77,47,"Team Fusion","T",10,"00s","SONY","7th Gen","SONY_PS","Other","Other","EA"
